Date,Hour,ED_Patients
7/9/2018,13,46
7/9/2018,14,49
7/9/2018,15,56
7/9/2018,16,60
7/9/2018,17,61
7/9/2018,18,61
7/9/2018,19,60
7/9/2018,20,57
7/9/2018,21,57
7/9/2018,22,53
7/9/2018,23,49
7/10/2018,0,45
7/10/2018,1,31
7/10/2018,2,22
7/10/2018,3,16
7/10/2018,4,16
7/10/2018,5,13
7/10/2018,6,13
7/10/2018,7,14
7/10/2018,8,17
7/10/2018,9,21
7/10/2018,10,26
7/10/2018,11,37
7/10/2018,12,43
7/10/2018,13,44
7/10/2018,14,49
7/10/2018,15,53
7/10/2018,16,57
7/10/2018,17,58
7/10/2018,18,54
7/10/2018,19,55
7/10/2018,20,58
7/10/2018,21,52
7/10/2018,22,53
7/10/2018,23,44
7/11/2018,0,43
7/11/2018,1,40
7/11/2018,2,34
7/11/2018,3,24
7/11/2018,4,20
7/11/2018,5,15
7/11/2018,6,13
7/11/2018,7,12
7/11/2018,8,14
7/11/2018,9,15
7/11/2018,10,20
7/11/2018,11,27
7/11/2018,12,35
7/11/2018,13,40
7/11/2018,14,41
7/11/2018,15,41
7/11/2018,16,45
7/11/2018,17,40
7/11/2018,18,32
7/11/2018,19,29
7/11/2018,20,35
7/11/2018,21,45
7/11/2018,22,37
7/11/2018,23,39
7/12/2018,0,34
7/12/2018,1,29
7/12/2018,2,23
7/12/2018,3,16
7/12/2018,4,16
7/12/2018,5,14
7/12/2018,6,14
7/12/2018,7,15
7/12/2018,8,11
7/12/2018,9,12
7/12/2018,10,13
7/12/2018,11,22
7/12/2018,12,34
7/12/2018,13,43
7/12/2018,14,44
7/12/2018,15,41
7/12/2018,16,47
7/12/2018,17,51
7/12/2018,18,54
7/12/2018,19,51
7/12/2018,20,48
7/12/2018,21,46
7/12/2018,22,42
7/12/2018,23,41
7/13/2018,0,36
7/13/2018,1,27
7/13/2018,2,21
7/13/2018,3,18
7/13/2018,4,20
7/13/2018,5,16
7/13/2018,6,14
7/13/2018,7,12
7/13/2018,8,12
7/13/2018,9,15
7/13/2018,10,21
7/13/2018,11,35
7/13/2018,12,39
7/13/2018,13,36
7/13/2018,14,41
7/13/2018,15,42
7/13/2018,16,34
7/13/2018,17,35
7/13/2018,18,34
7/13/2018,19,31
7/13/2018,20,27
7/13/2018,21,32
7/13/2018,22,33
7/13/2018,23,29
7/14/2018,0,26
7/14/2018,1,26
7/14/2018,2,21
7/14/2018,3,18
7/14/2018,4,18
7/14/2018,5,15
7/14/2018,6,12
7/14/2018,7,7
7/14/2018,8,6
7/14/2018,9,7
7/14/2018,10,12
7/14/2018,11,23
7/14/2018,12,29
7/14/2018,13,31
7/14/2018,14,36
7/14/2018,15,36
7/14/2018,16,37
7/14/2018,17,41
7/14/2018,18,37
7/14/2018,19,34
7/14/2018,20,36
7/14/2018,21,28
7/14/2018,22,26
7/14/2018,23,21
7/15/2018,0,22
7/15/2018,1,17
7/15/2018,2,17
7/15/2018,4,16
7/15/2018,5,11
7/15/2018,6,5
7/15/2018,7,7
7/15/2018,8,13
7/15/2018,9,17
7/15/2018,10,23
7/15/2018,11,32
7/15/2018,12,34
7/15/2018,13,33
7/15/2018,14,35
7/15/2018,15,41
7/15/2018,16,39
7/15/2018,17,30
7/15/2018,18,26
7/15/2018,19,24
7/15/2018,20,32
7/15/2018,21,28
7/15/2018,22,30
7/15/2018,23,25
7/16/2018,0,21
7/16/2018,1,21
7/16/2018,2,19
7/16/2018,3,16
7/16/2018,4,15
7/16/2018,5,11
7/16/2018,6,9
7/16/2018,7,8
7/16/2018,8,12
7/16/2018,9,19
7/16/2018,10,29
7/16/2018,11,35
7/16/2018,12,38
7/16/2018,13,44
7/16/2018,14,44
7/16/2018,15,53
7/16/2018,16,44
7/16/2018,17,56
7/16/2018,18,54
7/16/2018,19,59
7/16/2018,20,56
7/16/2018,21,49
7/16/2018,22,45
7/16/2018,23,40
7/17/2018,0,25
7/17/2018,1,20
7/17/2018,2,18
7/17/2018,3,14
7/17/2018,4,16
7/17/2018,5,10
7/17/2018,6,11
7/17/2018,7,10
7/17/2018,8,12
7/17/2018,9,13
7/17/2018,10,20
7/17/2018,11,22
7/17/2018,12,25
7/17/2018,13,24
7/17/2018,14,30
7/17/2018,15,32
7/17/2018,16,36
7/17/2018,17,37
7/17/2018,18,35
7/17/2018,19,38
7/17/2018,20,38
7/17/2018,21,30
7/17/2018,22,27
7/17/2018,23,21
7/18/2018,0,17
7/18/2018,1,9
7/18/2018,2,4
7/18/2018,3,5
7/18/2018,4,4
7/18/2018,5,4
7/18/2018,6,5
7/18/2018,7,7
7/18/2018,8,9
7/18/2018,9,14
7/18/2018,10,22
7/18/2018,11,27
7/18/2018,12,36
7/18/2018,13,43
7/18/2018,14,40
7/18/2018,15,44
7/18/2018,16,44
7/18/2018,17,52
7/18/2018,18,47
7/18/2018,19,44
7/18/2018,20,46
7/18/2018,21,44
7/18/2018,22,43
7/18/2018,23,38
7/19/2018,0,38
7/19/2018,1,25
7/19/2018,2,23
7/19/2018,3,19
7/19/2018,4,12
7/19/2018,5,9
7/19/2018,6,9
7/19/2018,7,9
7/19/2018,8,11
7/19/2018,9,13
7/19/2018,10,23
7/19/2018,11,27
7/19/2018,12,33
7/19/2018,13,38
7/19/2018,14,36
7/19/2018,15,44
7/19/2018,16,46
7/19/2018,17,45
7/19/2018,18,43
7/19/2018,19,43
7/19/2018,20,46
7/19/2018,21,48
7/19/2018,22,46
7/19/2018,23,39
7/20/2018,0,33
7/20/2018,1,30
7/20/2018,2,20
7/20/2018,3,17
7/20/2018,4,13
7/20/2018,5,11
7/20/2018,6,11
7/20/2018,7,8
7/20/2018,8,11
7/20/2018,9,16
7/20/2018,10,22
7/20/2018,11,26
7/20/2018,12,37
7/20/2018,13,37
7/20/2018,14,40
7/20/2018,15,42
7/20/2018,16,50
7/20/2018,17,49
7/20/2018,18,54
7/20/2018,19,55
7/20/2018,20,46
7/20/2018,21,37
7/20/2018,22,23
7/20/2018,23,20
7/21/2018,0,20
7/21/2018,1,21
7/21/2018,2,17
7/21/2018,3,13
7/21/2018,4,12
7/21/2018,5,9
7/21/2018,6,10
7/21/2018,7,4
7/21/2018,8,8
7/21/2018,9,12
7/21/2018,10,17
7/21/2018,11,22
7/21/2018,12,29
7/21/2018,13,38
7/21/2018,14,35
7/21/2018,15,36
7/21/2018,16,28
7/21/2018,17,30
7/21/2018,18,30
7/21/2018,19,27
7/21/2018,20,26
7/21/2018,21,24
7/21/2018,22,16
7/21/2018,23,18
7/22/2018,0,15
7/22/2018,1,14
7/22/2018,2,15
7/22/2018,3,12
7/22/2018,4,8
7/22/2018,5,7
7/22/2018,6,6
7/22/2018,7,9
7/22/2018,8,12
7/22/2018,9,13
7/22/2018,10,17
7/22/2018,11,30
7/22/2018,12,38
7/22/2018,13,40
7/22/2018,14,34
7/22/2018,15,30
7/22/2018,16,32
7/22/2018,17,30
7/22/2018,18,27
7/22/2018,19,26
7/22/2018,20,26
7/22/2018,21,28
7/22/2018,22,29
7/22/2018,23,27
7/23/2018,0,26
7/23/2018,1,23
7/23/2018,2,21
7/23/2018,3,20
7/23/2018,4,20
7/23/2018,5,16
7/23/2018,6,13
7/23/2018,7,11
7/23/2018,8,10
7/23/2018,9,9
7/23/2018,10,14
7/23/2018,11,22
7/23/2018,12,28
7/23/2018,13,38
7/23/2018,14,35
7/23/2018,15,42
7/23/2018,16,38
7/23/2018,17,38
7/23/2018,18,44
7/23/2018,19,37
7/23/2018,20,37
7/23/2018,21,38
7/23/2018,22,36
7/23/2018,23,37
7/24/2018,0,28
7/24/2018,1,27
7/24/2018,2,22
7/24/2018,3,16
7/24/2018,4,9
7/24/2018,5,9
7/24/2018,6,9
7/24/2018,7,10
7/24/2018,8,10
7/24/2018,9,17
7/24/2018,10,22
7/24/2018,11,33
7/24/2018,12,43
7/24/2018,13,49
7/24/2018,14,54
7/24/2018,15,63
7/24/2018,16,59
7/24/2018,17,47
7/24/2018,18,43
7/24/2018,19,49
7/24/2018,20,46
7/24/2018,21,49
7/24/2018,22,45
7/24/2018,23,37
7/25/2018,0,27
7/25/2018,1,20
7/25/2018,2,15
7/25/2018,3,15
7/25/2018,4,8
7/25/2018,5,10
7/25/2018,6,8
7/25/2018,7,6
7/25/2018,8,10
7/25/2018,9,13
7/25/2018,10,13
7/25/2018,11,19
7/25/2018,12,24
7/25/2018,13,30
7/25/2018,14,38
7/25/2018,15,46
7/25/2018,16,47
7/25/2018,17,50
7/25/2018,18,51
7/25/2018,19,53
7/25/2018,20,48
7/25/2018,21,46
7/25/2018,22,42
7/25/2018,23,34
7/26/2018,0,36
7/26/2018,1,35
7/26/2018,2,27
7/26/2018,3,27
7/26/2018,4,23
7/26/2018,5,21
7/26/2018,6,19
7/26/2018,7,16
7/26/2018,8,13
7/26/2018,9,15
7/26/2018,10,18
7/26/2018,11,24
7/26/2018,12,34
7/26/2018,13,32
7/26/2018,14,40
7/26/2018,15,41
7/26/2018,16,39
7/26/2018,17,45
7/26/2018,18,47
7/26/2018,19,48
7/26/2018,20,41
7/26/2018,21,45
7/26/2018,22,42
7/26/2018,23,43
7/27/2018,0,46
7/27/2018,1,38
7/27/2018,2,31
7/27/2018,3,28
